"Screen","Route","Columns","Sorting","Filtering","Search","Pagination","Expected Response","Example JSON"
"CrmCampaignList","urls.crm_campaign","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SetttingSocialCrmList","urls.setting_social_crm","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","Optional.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingList","urls.setting","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"InternalMailList","urls.internal_mail","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"KpiList","urls.kpi","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"KpiApplyList","urls.kpiApply","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"KpiObjectList","urls.kpiObject","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"WarrantyList","urls.warranty","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"WarrantyListProcess","urls.warranty_process","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"CollectWarranty","urls.collect_warranty","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"DetailWarranty","urls.detail_warranty","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingWarrantyList","urls.setting_warranty","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"TicketList","urls.ticket","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"TicketListProcess","urls.ticket_process","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"CollectTicket","urls.collect_ticket","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"DetailTicket","urls.detail_ticket","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"DiarySurgeryList","urls.diary_surgery","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingTicketList","urls.setting_ticket","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingCallList","urls.setting_call","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingSMSList","urls.setting_sms","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingEmailList","urls.setting_email","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingZalo","urls.setting_zalo","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingRoseList","urls.setting_rose","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ClinicInfoList","urls.setting_basis","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingTimekeepingList","urls.setting_timekeeping","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingCustomerList","urls.setting_customer","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingContactList","urls.setting_contact","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingCashBookList","urls.setting_cash_book","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingMarketResearchList","urls.setting_market_research","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingProjectList","urls.setting_project","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ConfigBPM","urls.config_bpm","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingDashboard","urls.setting_dashboard","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"PatientCaseList","urls.project","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"DailyProgressLogList","urls.middle_work","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingReportList","urls.setting_report","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"IntegratedMonitoring","urls.integrated_monitoring","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingCode","urls.setting_code","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ClinicCalendar","urls.calendar_common","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"DoctorQnAList","urls.call_center","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"EmailList","urls.email","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingAccount","urls.setting_account","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingKpiList","urls.setting_kpi","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
